... loading data
... building the model
... getting the pretraining functions
... pre-training the model
... getting the finetuning functions
39
54
... finetuning the model
epoch 1, minibatch 300/300, validation error 16.666667 %
     epoch 1, minibatch 300/300, test error of best model 20.512821 %
epoch 2, minibatch 300/300, validation error 16.666667 %
epoch 3, minibatch 300/300, validation error 16.666667 %
epoch 4, minibatch 300/300, validation error 16.666667 %
epoch 5, minibatch 300/300, validation error 16.666667 %
epoch 6, minibatch 300/300, validation error 16.666667 %
epoch 7, minibatch 300/300, validation error 16.666667 %
epoch 8, minibatch 300/300, validation error 16.666667 %
epoch 9, minibatch 300/300, validation error 16.666667 %
epoch 10, minibatch 300/300, validation error 16.666667 %
epoch 11, minibatch 300/300, validation error 16.666667 %
epoch 12, minibatch 300/300, validation error 16.666667 %
epoch 13, minibatch 300/300, validation error 16.666667 %
epoch 14, minibatch 300/300, validation error 16.666667 %
epoch 15, minibatch 300/300, validation error 16.666667 %
epoch 16, minibatch 300/300, validation error 16.666667 %
epoch 17, minibatch 300/300, validation error 16.666667 %
epoch 18, minibatch 300/300, validation error 16.666667 %
epoch 19, minibatch 300/300, validation error 16.666667 %
epoch 20, minibatch 300/300, validation error 16.666667 %
epoch 21, minibatch 300/300, validation error 16.666667 %
epoch 22, minibatch 300/300, validation error 16.666667 %
epoch 23, minibatch 300/300, validation error 16.666667 %
epoch 24, minibatch 300/300, validation error 16.666667 %
epoch 25, minibatch 300/300, validation error 16.666667 %
epoch 26, minibatch 300/300, validation error 16.666667 %
epoch 27, minibatch 300/300, validation error 16.666667 %
epoch 28, minibatch 300/300, validation error 16.666667 %
epoch 29, minibatch 300/300, validation error 16.666667 %
epoch 30, minibatch 300/300, validation error 16.666667 %
epoch 31, minibatch 300/300, validation error 16.666667 %
epoch 32, minibatch 300/300, validation error 16.666667 %
epoch 33, minibatch 300/300, validation error 16.666667 %
epoch 34, minibatch 300/300, validation error 16.666667 %
epoch 35, minibatch 300/300, validation error 16.666667 %
epoch 36, minibatch 300/300, validation error 16.666667 %
epoch 37, minibatch 300/300, validation error 16.666667 %
epoch 38, minibatch 300/300, validation error 16.666667 %
epoch 39, minibatch 300/300, validation error 16.666667 %
epoch 40, minibatch 300/300, validation error 16.666667 %
epoch 41, minibatch 300/300, validation error 16.666667 %
epoch 42, minibatch 300/300, validation error 16.666667 %
epoch 43, minibatch 300/300, validation error 16.666667 %
epoch 44, minibatch 300/300, validation error 16.666667 %
epoch 45, minibatch 300/300, validation error 16.666667 %
epoch 46, minibatch 300/300, validation error 16.666667 %
epoch 47, minibatch 300/300, validation error 16.666667 %
epoch 48, minibatch 300/300, validation error 16.666667 %
epoch 49, minibatch 300/300, validation error 16.666667 %
epoch 50, minibatch 300/300, validation error 16.666667 %
epoch 51, minibatch 300/300, validation error 16.666667 %
epoch 52, minibatch 300/300, validation error 16.666667 %
epoch 53, minibatch 300/300, validation error 16.666667 %
epoch 54, minibatch 300/300, validation error 16.666667 %
epoch 55, minibatch 300/300, validation error 16.666667 %
epoch 56, minibatch 300/300, validation error 16.666667 %
epoch 57, minibatch 300/300, validation error 14.814815 %
     epoch 57, minibatch 300/300, test error of best model 5.128205 %
epoch 58, minibatch 300/300, validation error 14.814815 %
epoch 59, minibatch 300/300, validation error 14.814815 %
epoch 60, minibatch 300/300, validation error 14.814815 %
epoch 61, minibatch 300/300, validation error 14.814815 %
epoch 62, minibatch 300/300, validation error 14.814815 %
epoch 63, minibatch 300/300, validation error 14.814815 %
epoch 64, minibatch 300/300, validation error 14.814815 %
epoch 65, minibatch 300/300, validation error 14.814815 %
epoch 66, minibatch 300/300, validation error 14.814815 %
epoch 67, minibatch 300/300, validation error 14.814815 %
epoch 68, minibatch 300/300, validation error 14.814815 %
epoch 69, minibatch 300/300, validation error 14.814815 %
epoch 70, minibatch 300/300, validation error 12.962963 %
